ticker,weight
US45258J1025,3.702e-3
US45378A1060,5.8111e-2
US45569U1016,4.642e-3
US4570301048,6.1219e-2
US4571871023,0.181287
US4576422053,3.384e-3
US45826J1051,8.729e-3
US45827U1097,6.447e-3
US4590441030,0.109147
US46124J2015,2.8004e-2
US46125A1007,1.312e-3
US4622221004,1.1861e-2
US4622601007,7.457e-3
US46266A1097,3.074e-3
US46571Y1073,6.937e-3
US46578C1080,3.582e-3
US4660321096,2.7465e-2
US46817M1071,0.507564
US47074L1052,7.158e-3
US47103J1051,3.699e-3
US47103N1063,2.8761e-2
US47233W1099,0.184239
US48020Q1076,0.33829
US48242W1062,9.2417e-2
